"yr","away","home","pts.away","pts.home","home.win","net.a","net.h","dif"
2013,"CLE","UTA",98,109,TRUE,-5.10000000000001,-0.0999999999999943,5.00000000000001
2013,"OKC","DEN",118,121,TRUE,9.80000000000001,5.30000000000001,-4.5
2013,"BOS","DET",88,103,TRUE,-0.200000000000003,-4.3,-4.09999999999999
2013,"DAL","ORL",111,105,FALSE,-0.599999999999994,-7.5,-6.90000000000001
2013,"LAL","TOR",103,108,TRUE,1.2,-1.59999999999999,-2.8
2013,"MIN","ATL",96,104,TRUE,-2.5,0.399999999999991,2.89999999999999
2013,"HOU","CHA",100,94,FALSE,3.60000000000001,-10,-13.6
2013,"LAL","CHI",83,95,TRUE,1.2,0.299999999999997,-0.900000000000006
2013,"LAC","GSW",99,106,TRUE,7,0.900000000000006,-6.09999999999999
2013,"IND","MEM",82,81,FALSE,4.5,4.60000000000001,0.100000000000009
2013,"SAC","NOH",105,114,TRUE,-5.2,-4.39999999999999,0.800000000000011
2013,"BRK","NYK",88,85,FALSE,2,4.8,2.8
2013,"SAS","PHI",90,85,FALSE,6.7,-3.7,-10.4
2013,"WAS","POR",98,95,FALSE,-2.8,-3.40000000000001,-0.600000000000009
2013,"BOS","CLE",90,95,TRUE,-0.200000000000003,-5.10000000000001,-4.90000000000001
2013,"ORL","DET",90,105,TRUE,-7.5,-4.3,3.2
2013,"OKC","LAC",109,97,FALSE,9.80000000000001,7,-2.80000000000001
2013,"PHI","MIL",102,110,TRUE,-3.7,-1.60000000000001,2.09999999999999
2013,"ATL","CHA",104,92,FALSE,0.399999999999991,-10,-10.4
2013,"DET","CHI",82,85,TRUE,-4.3,0.299999999999997,4.59999999999999
2013,"OKC","GSW",99,104,TRUE,9.80000000000001,0.900000000000006,-8.90000000000001
2013,"DEN","HOU",105,95,FALSE,5.30000000000001,3.60000000000001,-1.7
2013,"LAL","MEM",93,106,TRUE,1.2,4.60000000000001,3.40000000000001
2013,"TOR","MIA",116,123,TRUE,-1.59999999999999,8.59999999999999,10.2
2013,"BRK","MIN",91,83,FALSE,2,-2.5,-4.5
2013,"IND","POR",80,100,TRUE,4.5,-3.40000000000001,-7.90000000000001
2013,"PHO","SAC",106,96,FALSE,-6.89999999999999,-5.2,1.69999999999999
2013,"NOH","SAS",102,106,TRUE,-4.39999999999999,6.7,11.1
2013,"WAS","UTA",88,92,TRUE,-2.8,-0.0999999999999943,2.7
2013,"NYK","BOS",89,86,FALSE,4.8,-0.200000000000003,-5
2013,"TOR","ORL",97,95,FALSE,-1.59999999999999,-7.5,-5.90000000000001
2013,"LAC","PHO",88,93,TRUE,7,-6.89999999999999,-13.9
2013,"BOS","ATL",111,123,TRUE,-0.200000000000003,0.399999999999991,0.599999999999994
2013,"GSW","CHI",87,103,TRUE,0.900000000000006,0.299999999999997,-0.600000000000009
2013,"MIL","CLE",108,113,TRUE,-1.60000000000001,-5.10000000000001,-3.5
2013,"SAS","DAL",113,107,FALSE,6.7,-0.599999999999994,-7.3
2013,"UTA","LAL",84,102,TRUE,-0.0999999999999943,1.2,1.3
2013,"BRK","MEM",77,101,TRUE,2,4.60000000000001,2.60000000000001
2013,"DET","MIA",88,110,TRUE,-4.3,8.59999999999999,12.9
2013,"HOU","NOH",100,82,FALSE,3.60000000000001,-4.39999999999999,-8
2013,"OKC","SAC",105,95,FALSE,9.80000000000001,-5.2,-15
2013,"MIN","WAS",101,114,TRUE,-2.5,-2.8,-0.299999999999997
2013,"MIN","CHA",101,102,TRUE,-2.5,-10,-7.5
2013,"SAC","DEN",93,121,TRUE,-5.2,5.30000000000001,10.5
2013,"BRK","HOU",106,119,TRUE,2,3.60000000000001,1.60000000000001
2013,"GSW","MIL",102,109,TRUE,0.900000000000006,-1.60000000000001,-2.50000000000001
2013,"NYK","PHI",80,97,TRUE,4.8,-3.7,-8.5
2013,"LAC","POR",100,101,TRUE,7,-3.40000000000001,-10.4
2013,"PHO","SAS",99,108,TRUE,-6.89999999999999,6.7,13.6
2013,"CLE","TOR",99,98,FALSE,-5.10000000000001,-1.59999999999999,3.50000000000001
2013,"IND","UTA",110,114,TRUE,4.5,-0.0999999999999943,-4.59999999999999
2013,"CHI","WAS",73,86,TRUE,0.299999999999997,-2.8,-3.09999999999999
2013,"MIA","BOS",98,100,TRUE,8.59999999999999,-0.200000000000003,-8.8
2013,"PHO","DAL",95,110,TRUE,-6.89999999999999,-0.599999999999994,6.3
2013,"POR","LAC",83,96,TRUE,-3.40000000000001,7,10.4
2013,"OKC","LAL",96,105,TRUE,9.80000000000001,1.2,-8.60000000000001
2013,"NOH","MEM",91,83,FALSE,-4.39999999999999,4.60000000000001,9
2013,"ATL","NYK",104,106,TRUE,0.399999999999991,4.8,4.40000000000001
2013,"DET","ORL",104,102,FALSE,-4.3,-7.5,-3.2
2013,"ORL","BRK",77,97,TRUE,-7.5,2,9.5
2013,"CHA","CHI",85,93,TRUE,-10,0.299999999999997,10.3
2013,"IND","DEN",101,102,TRUE,4.5,5.30000000000001,0.800000000000011
2013,"MEM","PHI",103,100,FALSE,4.60000000000001,-3.7,-8.30000000000001
2013,"GSW","TOR",114,102,FALSE,0.900000000000006,-1.59999999999999,-2.5
2013,"HOU","UTA",125,80,FALSE,3.60000000000001,-0.0999999999999943,-3.7
2013,"SAC","WAS",96,94,FALSE,-5.2,-2.8,2.40000000000001
2013,"GSW","CLE",108,95,FALSE,0.900000000000006,-5.10000000000001,-6.00000000000001
2013,"MIL","DET",117,90,FALSE,-1.60000000000001,-4.3,-2.69999999999999
2013,"NOH","LAL",106,111,TRUE,-4.39999999999999,1.2,5.59999999999999
2013,"DAL","POR",104,106,TRUE,-0.599999999999994,-3.40000000000001,-2.80000000000001
2013,"TOR","ATL",92,93,TRUE,-1.59999999999999,0.399999999999991,1.99999999999999
2013,"SAC","BOS",81,99,TRUE,-5.2,-0.200000000000003,5
2013,"MIA","BRK",105,85,FALSE,8.59999999999999,2,-6.59999999999999
2013,"HOU","DEN",110,118,TRUE,3.60000000000001,5.30000000000001,1.7
2013,"DET","IND",79,98,TRUE,-4.3,4.5,8.8
2013,"CHI","MIL",104,88,FALSE,0.299999999999997,-1.60000000000001,-1.90000000000001
2013,"LAC","MIN",96,90,FALSE,7,-2.5,-9.5
2013,"ORL","NYK",97,113,TRUE,-7.5,4.8,12.3
2013,"WAS","PHI",84,92,TRUE,-2.8,-3.7,-0.900000000000006
2013,"LAL","PHO",86,92,TRUE,1.2,-6.89999999999999,-8.09999999999999
2013,"CHA","SAS",78,102,TRUE,-10,6.7,16.7
2013,"NOH","UTA",99,104,TRUE,-4.39999999999999,-0.0999999999999943,4.3
2013,"DAL","GSW",97,100,TRUE,-0.599999999999994,0.900000000000006,1.5
2013,"MEM","OKC",89,106,TRUE,4.60000000000001,9.80000000000001,5.2
2013,"ORL","BOS",84,97,TRUE,-7.5,-0.200000000000003,7.3
2013,"CHI","BRK",89,93,TRUE,0.299999999999997,2,1.7
2013,"NOH","DEN",98,113,TRUE,-4.39999999999999,5.30000000000001,9.7
2013,"CLE","DET",99,117,TRUE,-5.10000000000001,-4.3,0.800000000000011
2013,"MIA","IND",89,102,TRUE,8.59999999999999,4.5,-4.09999999999999
2013,"WAS","MEM",76,85,TRUE,-2.8,4.60000000000001,7.40000000000001
2013,"LAL","MIN",111,100,FALSE,1.2,-2.5,-3.7
2013,"MIL","NYK",86,96,TRUE,-1.60000000000001,4.8,6.40000000000001
2013,"SAC","PHI",80,89,TRUE,-5.2,-3.7,1.5
2013,"DAL","PHO",109,99,FALSE,-0.599999999999994,-6.89999999999999,-6.3
2013,"LAC","TOR",73,98,TRUE,7,-1.59999999999999,-8.59999999999999
2013,"POR","UTA",77,86,TRUE,-3.40000000000001,-0.0999999999999943,3.30000000000001
2013,"CHI","ATL",93,76,FALSE,0.299999999999997,0.399999999999991,0.0999999999999943
2013,"OKC","CLE",110,115,TRUE,9.80000000000001,-5.10000000000001,-14.9
2013,"PHO","GSW",93,113,TRUE,-6.89999999999999,0.900000000000006,7.8
2013,"CHA","HOU",95,109,TRUE,-10,3.60000000000001,13.6
2013,"ORL","MIL",98,107,TRUE,-7.5,-1.60000000000001,5.89999999999999
2013,"NOH","MIN",86,115,TRUE,-4.39999999999999,-2.5,1.89999999999999
2013,"SAC","NYK",81,120,TRUE,-5.2,4.8,10
2013,"UTA","POR",99,105,TRUE,-0.0999999999999943,-3.40000000000001,-3.30000000000001
2013,"WAS","SAS",86,96,TRUE,-2.8,6.7,9.5
2013,"LAC","BOS",104,106,TRUE,7,-0.200000000000003,-7.2
2013,"LAL","DET",98,97,FALSE,1.2,-4.3,-5.5
2013,"MIA","TOR",100,85,FALSE,8.59999999999999,-1.59999999999999,-10.2
2013,"CHI","IND",101,111,TRUE,0.299999999999997,4.5,4.2
2013,"CHA","MIA",94,99,TRUE,-10,8.59999999999999,18.6
2013,"POR","MIN",100,98,FALSE,-3.40000000000001,-2.5,0.900000000000006
2013,"DET","NYK",85,99,TRUE,-4.3,4.8,9.09999999999999
2013,"DAL","OKC",91,112,TRUE,-0.599999999999994,9.80000000000001,10.4
2013,"ORL","PHI",61,78,TRUE,-7.5,-3.7,3.8
2013,"SAC","UTA",91,98,TRUE,-5.2,-0.0999999999999943,5.10000000000001
2013,"LAC","WAS",90,98,TRUE,7,-2.8,-9.8
2013,"LAL","BRK",92,83,FALSE,1.2,2,0.799999999999997
2013,"MIL","DEN",104,112,TRUE,-1.60000000000001,5.30000000000001,6.90000000000002
2013,"GSW","HOU",109,140,TRUE,0.900000000000006,3.60000000000001,2.7
2013,"ATL","IND",103,114,TRUE,0.399999999999991,4.5,4.10000000000001
2013,"PHO","MEM",96,90,FALSE,-6.89999999999999,4.60000000000001,11.5
2013,"MEM","ATL",92,103,TRUE,4.60000000000001,0.399999999999991,-4.20000000000002
2013,"CHA","CLE",95,122,TRUE,-10,-5.10000000000001,4.89999999999999
