"Name","Team","mp","ts","usg","Position","ortg.on","ortg.off"
"Daniel Hamilton","OKC",9,70,24.1,"SG",118.8,110
"Tim Hardaway","NYK",926,55.4,23.7,"SG",112.2,106.1
"James Harden","HOU",1433,61.8,35.6,"SG",118,110.9
"Maurice Harkless","POR",778,52.6,12.7,"SF",103.4,111.4
"Montrezl Harrell","LAC",648,61.9,22.2,"C",108.4,110.5
"Devin Harris","DAL",730,55.2,21.9,"PG",112.2,104.7
"Gary Harris","DEN",1568,60.2,20.3,"SG",111.7,105.7
"Joe Harris","BRK",1195,61.8,16.2,"SG",106.5,105.6
"Tobias Harris","DET",1537,56.6,23.1,"PF",109.3,101.8
"Andrew Harrison","MEM",859,51.3,18.3,"PG",104.3,107.2
"Josh Hart","LAL",833,55.4,12,"SG",108.6,103.1
"Udonis Haslem","MIA",45,50,7.1,"C",111,106.3
"Nigel Hayes","LAL",1,NA,0,"SF",150,105
"Gordon Hayward","BOS",5,50,17.9,"SF",109.1,107.2
"Myke Henry","MEM",76,34.5,18.4,"SF",108.6,106.1
"John Henson","MIL",1149,59.7,15.8,"C",113.6,105.7
"Juan Hernangomez","DEN",213,51.9,12.8,"PF",105.7,110.1
"Willy Hernangomez","NYK",222,59.3,22.8,"C",104.6,108.8
"Mario Hezonja","ORL",717,54.2,18.4,"SF",107.4,105.9
"Buddy Hield","SAC",1115,56.1,23.7,"SG",105.3,101.1
"Nene Hilario","HOU",459,62.3,19.3,"C",118,114.7
"George Hill","SAC",1027,58.7,16.9,"PG",103.3,103.1
"Darrun Hilliard","SAS",57,21,11.8,"SG",112,107
"Jrue Holiday","NOP",1776,58.1,22.1,"SG",111.8,106.7
"Justin Holiday","CHI",1640,52.2,18.1,"SG",106,101.8
"John Holland","CLE",17,37.5,13.1,"SF",71,112.2
"Rondae Hollis-Jefferson","BRK",1301,55,22.4,"SF",107.8,103.9
"Richaun Holmes","PHI",367,54.9,17.4,"C",106.8,107.3
"Rodney Hood","UTA",1017,53.8,27.7,"SG",104.6,108
"Al Horford","BOS",1471,59.4,18.1,"C",111.1,101.3
"Danuel House","PHO",148,49.6,16.7,"SG",110,105.3
"Dwight Howard","CHO",1480,55.9,23.9,"C",109.2,104.2
"Josh Huestis","OKC",613,43.6,9.6,"PF",113.6,108.9
"R.J. Hunter","HOU",2,NA,0,"SG",250,115.3
"Vince Hunter","MEM",7,60,39.1,"PF",120,106.1
"Serge Ibaka","TOR",1179,56.4,19.6,"PF",115.8,110.2
"Andre Iguodala","GSW",1083,50.4,11.3,"SF",112.3,119.2
"Ersan Ilyasova","ATL",979,56.4,18.2,"PF",107.4,105.6
"Joe Ingles","UTA",1502,60.4,14.6,"SF",105.3,108.6
"Brandon Ingram","LAL",1484,51.8,22.2,"SF",103,108.4
"Kyrie Irving","BOS",1549,59.8,31.4,"PG",111.3,99.8
"Jonathan Isaac","ORL",284,48.2,14.9,"PF",100.2,107.2
"Wesley Iwundu","ORL",391,50.8,12.3,"SF",102.1,107.2
"Jarrett Jack","NYK",1284,48.6,16.7,"PG",110.8,105.6
