"","nm","Career Att.","Career Pct.","17-18 Makes","17-18 Att.","17-18 Pct.","Preseason Proj.","Proj. Now","Change"
"71","Alec Burks",503,0.3598409,22,55,0.4,0.355982,0.3606135,0.004631579
"72","Jimmy Butler",1002,0.3373253,25,65,0.384615384615385,0.3373253,0.3410969,0.003771601
"75","Kentavious Caldwell-Pope",1435,0.3337979,44,124,0.354838709677419,0.3337979,0.3367831,0.002985197
"78","DeMarre Carroll",1105,0.3610859,39,105,0.371428571428571,0.3610859,0.3623561,0.001270148
"79","Vince Carter",0,0,8,26,0.307692307692308,0.344,0.3425805,-0.001419549
"84","Tyler Cavanaugh",0,0,8,21,0.380952380952381,0.344,0.3451669,0.001166917
"85","Mario Chalmers",1951,0.3593029,14,63,0.222222222222222,0.3593029,0.3486804,-0.01062249
"87","Wilson Chandler",1790,0.3374301,16,53,0.30188679245283,0.3374301,0.3350842,-0.00234595
"88","Marquese Chriss",224,0.3214284,17,54,0.314814814814815,0.336397,0.3340271,-0.002369925
"89","Ian Clark",283,0.3639575,15,51,0.294117647058824,0.3524932,0.3486677,-0.003825564
"90","Jordan Clarkson",797,0.3337515,28,78,0.358974358974359,0.3337515,0.3361276,0.002376064
"95","Darren Collison",1211,0.3798513,27,71,0.380281690140845,0.3798513,0.3798885,3.72174e-05
"97","Mike Conley",2391,0.3793392,24,77,0.311688311688312,0.3793392,0.3730404,-0.006298811
"98","Pat Connaughton",54,0.4074067,29,65,0.446153846153846,0.3491489,0.3591338,0.009984962
"103","DeMarcus Cousins",375,0.3119999,50,154,0.324675324675325,0.3259549,0.3214797,-0.004475188
"104","Robert Covington",1351,0.353812,71,169,0.420118343195266,0.353812,0.3660054,0.01219345
"105","Allen Crabbe",686,0.4110787,47,116,0.405172413793103,0.4110787,0.4102244,-0.0008542783
"107","Jamal Crawford",0,0,30,83,0.36144578313253,0.344,0.3461774,0.002177444
"109","Jae Crowder",1270,0.3464567,27,83,0.325301204819277,0.3464567,0.3443487,-0.002107927
"110","Dante Cunningham",389,0.3290488,20,64,0.3125,0.3352541,0.3322226,-0.003031579
"111","Stephen Curry",4379,0.4377712,78,207,0.376811594202899,0.4377712,0.4245856,-0.01318561
"112","Troy Daniels",538,0.4200743,42,98,0.428571428571429,0.4055459,0.418009,0.01246316
"113","Anthony Davis",269,0.2899627,14,39,0.358974358974359,0.3221414,0.3230195,0.0008781955
"116","Dewayne Dedmon",1,0,14,29,0.482758620689655,0.3434827,0.3495338,0.006051128
"117","Sam Dekker",187,0.3208554,5,33,0.151515151515152,0.3374917,0.3279398,-0.00955188
"118","Malcolm Delaney",110,0.2363634,13,35,0.371428571428571,0.3261955,0.3276391,0.001443609
"119","Matthew Dellavedova",776,0.3891752,11,29,0.379310344827586,0.3891752,0.388808,-0.0003672414
"121","DeMar DeRozan",841,0.2806183,16,57,0.280701754385965,0.2806183,0.2806242,5.89609e-06
"123","Gorgui Dieng",70,0.3428567,5,22,0.227272727272727,0.3438797,0.340018,-0.003861654
"124","Spencer Dinwiddie",176,0.2897726,41,106,0.386792452830189,0.3296481,0.3364692,0.006821053
"127","Goran Dragic",1640,0.3689024,42,103,0.407766990291262,0.3689024,0.3735953,0.004692909
"130","Kris Dunn",73,0.2876708,17,40,0.425,0.3378165,0.3426887,0.00487218
"131","Kevin Durant",3321,0.3794038,46,112,0.410714285714286,0.3794038,0.383472,0.004068186
"133","Wayne Ellington",1498,0.3738318,56,136,0.411764705882353,0.3738318,0.3796544,0.005822666
"134","Joel Embiid",98,0.3673466,13,54,0.240740740740741,0.3474406,0.3390556,-0.008384962
"135","James Ennis",282,0.3758864,12,37,0.324324324324324,0.3575218,0.3564271,-0.001094737
"138","Tyreke Evans",976,0.2950819,41,96,0.427083333333333,0.2950819,0.3100608,0.01497888
"143","Raymond Felton",2254,0.3265306,16,47,0.340425531914894,0.3265306,0.32735,0.0008194001
"145","Yogi Ferrell",149,0.4026843,32,88,0.363636363636364,0.3571489,0.3597474,0.002598496
"147","Bryn Forbes",53,0.3207541,26,64,0.40625,0.3421474,0.3481383,0.005990977
"148","Evan Fournier",1266,0.3791469,54,132,0.409090909090909,0.3791469,0.3836283,0.004481418
"149","De'Aaron Fox",0,0,9,32,0.28125,0.344,0.3409805,-0.003019549
"150","Tim Frazier",165,0.3333331,7,27,0.259259259259259,0.3413534,0.3379128,-0.003440602
"151","Channing Frye",2391,0.3889586,14,39,0.358974358974359,0.3889586,0.3874765,-0.00148211
"153","Danilo Gallinari",2023,0.3722195,13,50,0.26,0.3722195,0.3652057,-0.007013716
"154","Langston Galloway",440,0.3590908,29,74,0.391891891891892,0.353985,0.3593143,0.005329323
"155","Marc Gasol",334,0.3473053,31,95,0.326315789473684,0.3456602,0.3431338,-0.002526316
"156","Pau Gasol",0,0,22,51,0.431372549019608,0.344,0.3507008,0.006700752
"157","Rudy Gay",2108,0.3462998,14,45,0.311111111111111,0.3462998,0.344308,-0.001991812
"158","Paul George",2425,0.3698969,68,169,0.402366863905325,0.3698969,0.375868,0.005971083
"161","Manu Ginobili",3863,0.3704375,15,56,0.267857142857143,0.3704375,0.3633103,-0.007127169
"163","Aaron Gordon",457,0.2888402,52,122,0.426229508196721,0.3060932,0.3211789,0.01508571
"164","Eric Gordon",2690,0.3802974,62,199,0.311557788944724,0.3802974,0.3658831,-0.01441431
"167","Jerami Grant",416,0.3052884,10,36,0.277777777777778,0.3197835,0.3161985,-0.003584962
"168","Jerian Grant",234,0.3034187,18,54,0.333333333333333,0.3297203,0.3288541,-0.0008661654
"169","Danny Green",2123,0.3999058,38,105,0.361904761904762,0.3999058,0.395239,-0.004666791
"170","Draymond Green",1082,0.3336414,27,81,0.333333333333333,0.3336414,0.3336113,-3.002562e-05
"171","JaMychal Green",194,0.3608246,9,21,0.428571428571429,0.3489083,0.3515789,0.002670677
"172","Jeff Green",1648,0.3410194,12,41,0.292682926829268,0.3410194,0.338514,-0.00250543
"173","Blake Griffin",268,0.2985074,41,116,0.353448275862069,0.3256662,0.3273143,0.00164812
"175","Tim Hardaway",1271,0.3524783,48,152,0.315789473684211,0.3524783,0.3462957,-0.006182602
"176","James Harden",3801,0.3635885,98,242,0.40495867768595,0.3635885,0.3736808,0.01009232
"177","Maurice Harkless",661,0.3146747,9,38,0.236842105263158,0.3148511,0.3104435,-0.004407637
"179","Devin Harris",1951,0.324449,15,47,0.319148936170213,0.324449,0.3241364,-0.0003125499
"180","Gary Harris",655,0.3557251,48,116,0.413793103448276,0.3555489,0.3644617,0.008912866
"181","Joe Harris",309,0.3786407,46,116,0.396551724137931,0.3600962,0.3692632,0.009166917
"182","Tobias Harris",877,0.3352337,62,133,0.466165413533835,0.3352337,0.354955,0.01972131
"183","Andrew Harrison",156,0.2756408,10,35,0.285714285714286,0.3279639,0.3248962,-0.003067669
"184","Josh Hart",0,0,7,23,0.304347826086957,0.344,0.3426286,-0.001371429
"188","Juan Hernangomez",113,0.4070793,9,28,0.321428571428571,0.3547188,0.3537684,-0.0009503759
"190","Mario Hezonja",336,0.3273809,8,24,0.333333333333333,0.335603,0.335218,-0.0003849624
"191","Buddy Hield",138,0.4275359,39,85,0.458823529411765,0.3613353,0.376012,0.01467669
"193","George Hill",1965,0.3796437,22,49,0.448979591836735,0.3796437,0.3838959,0.004252136
"195","Jrue Holiday",1551,0.3655706,28,104,0.269230769230769,0.3655706,0.3538383,-0.01173225
"196","Justin Holiday",458,0.3537117,55,154,0.357142857142857,0.3506887,0.3537323,0.003043609
"200","Rodney Hood",926,0.3639308,51,127,0.401574803149606,0.3639308,0.3693821,0.005451291
"201","Al Horford",563,0.3463587,32,72,0.444444444444444,0.345997,0.3568722,0.01087519
"203","Josh Huestis",10,0.599994,10,34,0.294117647058824,0.3478496,0.3452992,-0.002550376
"205","Serge Ibaka",615,0.3626016,28,81,0.345679012345679,0.361203,0.3606322,-0.0005708236
"206","Andre Iguodala",2705,0.3356747,11,37,0.297297297297297,0.3356747,0.3338704,-0.001804273
"207","Ersan Ilyasova",1293,0.3696829,9,35,0.257142857142857,0.3696829,0.3646652,-0.005017708
"208","Joe Ingles",691,0.3994211,59,126,0.468253968253968,0.3994211,0.4100367,0.01061559
"209","Brandon Ingram",187,0.2941175,11,36,0.305555555555556,0.3299729,0.3278917,-0.002081203
"210","Kyrie Irving",1887,0.3831478,50,132,0.378787878787879,0.3831478,0.3824953,-0.0006525102
"213","Jarrett Jack",1699,0.3478517,8,25,0.32,0.3478517,0.3469532,-0.0008984405
"215","Josh Jackson",0,0,14,59,0.23728813559322,0.344,0.3345323,-0.009467669
"216","Justin Jackson",0,0,15,46,0.326086956521739,0.344,0.3427609,-0.001239098
"217","Reggie Jackson",1012,0.3280632,32,84,0.380952380952381,0.3280632,0.3333902,0.005326967
"218","LeBron James",4295,0.3415599,45,109,0.412844036697248,0.3415599,0.3506053,0.009045362
"219","Mike James",0,0,22,79,0.278481012658228,0.344,0.3362165,-0.007783459
"222","Jonas Jerebko",680,0.3499999,20,41,0.48780487804878,0.35,0.3578363,0.007836338
"226","James Johnson",612,0.2973856,21,61,0.344262295081967,0.3011008,0.3016345,0.0005337206
"228","Stanley Johnson",359,0.3008356,22,72,0.305555555555556,0.3206977,0.3165353,-0.004162406
"229","Tyler Johnson",369,0.3739836,31,96,0.322916666666667,0.3606376,0.357594,-0.003043609
"230","Wesley Johnson",1570,0.3369427,23,67,0.343283582089552,0.3369427,0.3374627,0.0005200027
"231","Nikola Jokic",223,0.3273541,28,69,0.405797101449275,0.338418,0.3448301,0.00641203
"234","Tyus Jones",126,0.3333331,12,33,0.363636363636364,0.3419789,0.3429534,0.0009744361
"236","Cory Joseph",363,0.3168043,26,57,0.456140350877193,0.3291549,0.3387669,0.00961203
"237","Frank Kaminsky",556,0.3309352,24,71,0.338028169014085,0.3330767,0.3324391,-0.000637594
"239","Luke Kennard",0,0,17,41,0.414634146341463,0.344,0.3483549,0.004354887
"241","Sean Kilpatrick",418,0.3444975,11,41,0.268292682926829,0.3443128,0.3396451,-0.004667669
"242","Maxi Kleber",0,0,6,23,0.260869565217391,0.344,0.3411248,-0.002875188
"244","Kyle Korver",4487,0.4336973,59,133,0.443609022556391,0.4336973,0.4351903,0.001492926
"246","Kyle Kuzma",0,0,37,98,0.377551020408163,0.344,0.3489444,0.004944361
"249","Jeremy Lamb",715,0.3244755,30,81,0.37037037037037,0.3244755,0.3291457,0.004670204
"250","Shane Larkin",262,0.3282441,5,20,0.25,0.3377925,0.3349654,-0.002827068
"253","T.J. Leaf",0,0,10,21,0.476190476190476,0.344,0.3481744,0.004174436
"254","Courtney Lee",1689,0.3860272,36,78,0.461538461538462,0.3860272,0.3931406,0.007113379
"258","Caris LeVert",184,0.320652,22,78,0.282051282051282,0.3375398,0.3302737,-0.007266165
"259","DeAndre Liggins",24,0.2916655,10,28,0.357142857142857,0.3421113,0.3426647,0.0005533835
"260","Damian Lillard",2818,0.3697658,59,178,0.331460674157303,0.3697658,0.3624185,-0.007347315
"264","Brook Lopez",418,0.3277511,27,90,0.3,0.3337865,0.3278316,-0.005954887
"266","Kevin Love",2435,0.364271,43,114,0.37719298245614,0.364271,0.365976,0.00170498
"267","Kyle Lowry",3052,0.3669725,63,153,0.411764705882353,0.3669725,0.3745618,0.007589383
"268","Timothe Luwawu-Cabarrot",161,0.3105588,24,71,0.338028169014085,0.3359038,0.3352662,-0.000637594
"270","Trey Lyles",332,0.3433734,11,25,0.44,0.3436872,0.3472962,0.003609023
"271","Shelvin Mack",606,0.3300329,7,23,0.304347826086957,0.3312722,0.3299008,-0.001371429
"274","Thon Maker",74,0.3783779,10,35,0.285714285714286,0.3478256,0.3447579,-0.003067669
"276","Lauri Markkanen",0,0,50,146,0.342465753424658,0.344,0.3436632,-0.0003368421
"277","Jarell Martin",27,0.3333321,7,30,0.233333333333333,0.3435669,0.3385744,-0.004992481
"278","Frank Mason",0,0,11,22,0.5,0.344,0.3491609,0.005160902
"280","Wesley Matthews",3265,0.3834609,58,141,0.411347517730496,0.3834609,0.387874,0.004413028
"281","Luc Mbah a Moute",435,0.3241379,23,57,0.403508771929825,0.3310075,0.3361083,0.005100752
"283","Patrick McCaw",123,0.3333331,12,31,0.387096774193548,0.3420271,0.3440361,0.002009023
"284","C.J. McCollum",1130,0.4132743,59,129,0.457364341085271,0.4132743,0.4197449,0.006470552
"287","Doug McDermott",358,0.4022345,24,59,0.406779661016949,0.3753504,0.3809203,0.005569925
"290","Ben McLemore",1043,0.3518696,8,30,0.266666666666667,0.3518696,0.3485925,-0.003277035
"291","Jodie Meeks",1768,0.3800905,24,72,0.333333333333333,0.3800905,0.375995,-0.004095516
"294","Khris Middleton",1068,0.403558,38,109,0.348623853211009,0.403558,0.3965873,-0.006970691
