"away","home"
"Los Angeles Clippers","Phoenix Suns"
"Boston Celtics","Utah Jazz"
"Washington Wizards","Detroit Pistons"
"Milwaukee Bucks","Golden State Warriors"
"Chicago Bulls","Miami Heat"
"Indiana Pacers","Sacramento Kings"
"Oklahoma City Thunder","San Antonio Spurs"
"Philadelphia 76ers","Atlanta Hawks"
"New Orleans Pelicans","Cleveland Cavaliers"
"Minnesota Timberwolves","Dallas Mavericks"
"Phoenix Suns","Houston Rockets"
"Milwaukee Bucks","Los Angeles Lakers"
"Denver Nuggets","Oklahoma City Thunder"
"Chicago Bulls","Orlando Magic"
"Los Angeles Clippers","Portland Trail Blazers"
"Memphis Grizzlies","Utah Jazz"
"Toronto Raptors","Boston Celtics"
"Brooklyn Nets","Miami Heat"
"Detroit Pistons","New York Knicks"
"Golden State Warriors","Sacramento Kings"
"Charlotte Hornets","Washington Wizards"
"Orlando Magic","Atlanta Hawks"
"Detroit Pistons","Brooklyn Nets"
"Washington Wizards","Chicago Bulls"
"Philadelphia 76ers","Charlotte Hornets"
"Dallas Mavericks","Cleveland Cavaliers"
"Milwaukee Bucks","Denver Nuggets"
"Phoenix Suns","Golden State Warriors"
"Indiana Pacers","Los Angeles Clippers"
"Sacramento Kings","Los Angeles Lakers"
"Utah Jazz","Minnesota Timberwolves"
"Oklahoma City Thunder","New Orleans Pelicans"
"Memphis Grizzlies","Portland Trail Blazers"
"Houston Rockets","San Antonio Spurs"
"Charlotte Hornets","Chicago Bulls"
"Toronto Raptors","Cleveland Cavaliers"
"Portland Trail Blazers","Dallas Mavericks"
"Indiana Pacers","Denver Nuggets"
"Washington Wizards","Houston Rockets"
"San Antonio Spurs","Los Angeles Clippers"
"Atlanta Hawks","Miami Heat"
"Boston Celtics","Milwaukee Bucks"
"Orlando Magic","New York Knicks"
"Golden State Warriors","Oklahoma City Thunder"
"Brooklyn Nets","Philadelphia 76ers"
"Sacramento Kings","Phoenix Suns"
"Los Angeles Lakers","Utah Jazz"
"Miami Heat","Atlanta Hawks"
"Philadelphia 76ers","Detroit Pistons"
"San Antonio Spurs","Los Angeles Lakers"
"Memphis Grizzlies","New Orleans Pelicans"
"Dallas Mavericks","Orlando Magic"
"Boston Celtics","Toronto Raptors"
"Washington Wizards","Cleveland Cavaliers"
